price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,h_age
313000,3,1.5,1340,7912,1.5,3,66
2384000,5,2.5,3650,9050,2,5,100
342000,3,2,1930,11947,1,4,55
420000,3,2.25,2000,8030,1,4,58
550000,4,2.5,1940,10500,1,4,45
490000,2,1,880,6380,1,3,83
335000,2,2,1350,2560,1,3,45
482000,4,2.5,2710,35868,2,3,32
452500,3,2.5,2430,88426,1,4,36
640000,4,2,1520,6200,1.5,3,76
463000,3,1.75,1710,7320,1,3,73
1400000,4,2.5,2920,4000,1.5,5,112
588500,3,1.75,2330,14892,1,3,41
365000,3,1,1090,6435,1,4,66
1200000,5,2.75,2910,9480,1.5,3,82
242500,3,1.5,1200,9720,1,4,56
419000,3,1.5,1570,6700,1,4,65
367500,4,3,3110,7231,2,3,24
257950,3,1.75,1370,5858,1,3,34
275000,3,1.5,1180,10277,1,3,38
750000,3,1.75,2240,10578,2,5,98
435000,4,1,1450,8800,1,4,67
626000,3,2.25,1750,1572,2.5,3,16
612500,4,2.5,2730,12261,2,3,30
495000,4,1.75,1600,6380,1,3,62
285000,3,2.5,2090,10834,1,4,34
615000,3,1.75,2360,7291,1,4,73
698000,4,2.25,2200,11250,1.5,5,101
675000,5,2.5,2820,67518,2,3,42
790000,3,2.5,2600,4750,1,4,70
382500,4,1.75,1560,8700,1,4,54
499950,4,2.5,2860,3345,2,3,17
650000,4,2,1820,5000,1.5,3,76
625000,4,2.5,2820,8408,2,3,7
400000,4,2.5,3630,42884,1.5,3,42
604000,3,2.5,3240,33151,2,3,26
440000,2,1,800,4850,1,4,77
287200,3,3,1850,19966,1,4,29
403000,3,2,1960,13100,1,5,64
750000,3,2.5,2390,6550,1,4,66
335000,3,2.25,1580,16215,1,4,43
260000,4,2,1480,8625,1,4,47
308500,2,1,850,6174,1,4,71
439950,3,2.5,1770,2875,2,3,31
235000,2,1,1210,9400,1,2,72
315000,3,1,1160,9180,1,3,53
437500,3,2.25,1970,35100,2,4,44
407500,3,2.5,1930,10460,2,3,25
445700,3,2.5,1270,1180,3,3,20
838000,4,2.5,3310,42998,2,3,20
630000,4,2.75,2710,37277,2,3,21
550000,3,1.75,2910,35200,1.5,3,42
805000,3,2,2710,4500,1.5,4,92
284000,3,1.75,1800,23103,1,3,53
470000,5,2.5,2210,9655,1,3,45
430000,4,1.5,1920,10000,1,4,67
491500,4,1.75,2190,125452,1,3,53
785000,5,3.25,3660,11995,2,3,15
385000,3,3.25,1320,1327,2,3,13
295000,2,2.5,1630,1368,2,3,12
555000,4,2.5,3310,6500,2,3,9
459990,3,2.5,2680,5539,2,3,8
625000,4,3.25,2730,54014,1,3,14
300000,3,2.5,2540,5050,2,3,15
625000,4,2.75,2920,6605,2,3,9
553000,2,1,900,5000,1,3,77
379880,3,2.5,1650,14054,1,4,35
310000,3,1,1010,9945,1,4,48
775000,2,2.5,2680,7392,1,3,17
365000,3,2.5,2200,7350,1,5,33
331950,4,2.5,2530,9933,2,3,31
783500,3,2.5,2850,7130,2,3,41
628000,4,2,2280,6010,1,3,121
560000,3,2.5,1900,8744,2,3,34
900000,3,1,1330,77972,1,3,93
531000,2,3,1270,1175,2,3,21
831000,4,3,2170,4000,2,4,39
780000,4,2.5,2730,10281,2,3,25
755000,4,2.5,2120,10202,1,4,61
705380,3,2.5,2490,4343,2,3,18
627000,4,2.25,1990,7712,1,3,48
865000,4,3,3690,9892,2,3,23
580000,2,1,2540,7000,1,5,79
410000,3,2.25,1800,36704,1,4,43
485000,4,3,2340,7048,1,4,42
400000,2,1.75,2110,9519,1,2,73
549000,2,1,1140,5400,1,5,113
620000,3,1.75,1480,2185,2.5,3,16
405000,2,3,1410,1240,2,3,15
232000,2,1,1200,8063,1,4,63
800866,5,2.5,3180,13806,2,4,31
650000,3,1.5,2160,9000,1,4,72
823000,6,1.75,2920,5000,2.5,4,113
770000,3,2,2350,5700,1.5,4,82
524000,3,1.75,1560,5520,1,4,77
541125,5,2.75,2740,8426,1,4,61
670000,3,2.5,1680,2000,3,3,112
384900,5,2.5,3090,12750,1,3,53
406100,3,2.25,1410,1332,3,3,16
1395000,5,3.5,4010,8510,2,5,50
736500,4,2.5,3180,21904,2,3,21
570000,3,2.25,2010,6000,1,3,46
787000,3,1.75,1330,7500,1,3,60
328000,4,2.5,2370,6500,2,3,23
435000,5,2,1840,9240,1,4,79
499000,4,2.5,2910,6479,2,3,15
501000,4,1,2070,7519,1,3,58
1090000,4,2.5,4340,141570,2.5,3,29
400000,2,1,840,5510,1,3,66
220000,4,1.5,1240,9600,1,3,50
657100,4,1,1390,4240,1,3,97
309950,4,2.75,2310,5000,2,3,15
300000,3,2,1050,10072,1,3,35
525888,5,1.75,2550,71874,1,5,61
740000,4,1.75,2010,3600,1.5,3,119
340000,5,1,1120,9022,1.5,4,59
398750,3,2.5,2230,4000,2,3,67
206000,2,1,810,7158,1,5,77
1030000,5,2.75,3190,16920,1,3,45
600000,3,1.75,1670,39639,1,4,45
